book_id, book_link
311, https://www.amazon.ca/Fifty-Challenging-Problems-Probability-Solutions/dp/0486653552/
312, https://www.amazon.ca/Solutions-Introduction-Probability-Statistics-Processes/dp/0990637212/
313, https://www.amazon.ca/Madeleine-LEngle-Wrinkle-Quartet-Swiftly/dp/1598535781/
317, https://www.amazon.ca/Acceptable-Time-Madeleine-LEngle/dp/1435273885/
319, https://www.amazon.ca/Many-Waters-Madeleine-LEngle/dp/0440405483/
330, https://www.amazon.ca/Leviathan-Thomas-Hobbes/dp/0199537283/
320, https://www.amazon.ca/We-Philologists-Complete-Friedrich-Nietzsche/dp/1781391416/
325, https://www.amazon.ca/Antichrist-Friedrich-Nietzsche-Unabridged-Original/dp/1548815578/
327, https://www.amazon.ca/Auguste-Comte-Positivism-John-Stuart/dp/1979540713/
329, https://www.amazon.ca/Discourse-Method-Reasoning-Rene-Descartes/dp/1727019911/
323, https://www.amazon.ca/Anti-Education-Future-Our-Educational-Institutions/dp/1590178947/
324, https://www.amazon.ca/Homer-Classical-Philology-Other-Short/dp/1241667594/
356, https://www.amazon.ca/Pygmy-Chuck-Palahniuk/dp/0385666306/
326, https://www.amazon.ca/System-Logic-Ratiocinative-Inductive-Investigation/dp/1360031782/
328, https://www.amazon.ca/Autobiography-John-Stuart-Mill/dp/1604503149/
333, https://www.amazon.ca/Prince-Nicolo-Machiavelli/dp/1721729437/
334, https://www.amazon.ca/Discourse-Method-Meditations-Philosophy-Principles/dp/1976339081/
335, https://www.amazon.ca/Problems-Philosophy-Bertrand-Russell/dp/1978014481/
336, https://www.amazon.ca/Tractatus-Logico-Philosophicus-Ludwig-Wittgenstein/dp/0486404455/
338, https://www.amazon.ca/Ta-Ssi-Yang-Kuo-Extremo-Oriente-Portuguez-Colligidos-Coordenados/dp/1363395289/
395, https://www.amazon.ca/seiner-Hand-Nicci-French/dp/3570005941/
339, https://www.amazon.ca/Everything-Kids-Science-Experiments-Gravity-challenge/dp/1435237803/
340, https://www.amazon.ca/Ta-Ssi-Yang-Kuo-Extremo-Oriente-Portuguez-Colligidos-Coordenados/dp/1363395289/
341, https://www.amazon.ca/Xenocide-Mission-Ben-Jeapes/dp/0385604122/
342, https://www.amazon.ca/Trapped-Video-Game-Book-Final/dp/1449495737/
345, https://www.amazon.ca/Berenstain-Bears-Go-Green/dp/0062075500/
347, https://www.amazon.ca/Percy-Jackson-Olympians-Lightning-Thief/dp/0786856297/
348, https://www.amazon.ca/Percy-Jackson-Olympians-Monsters-Cover/dp/0786856866/
349, https://www.amazon.ca/Percy-Jackson-Olympians-Three-Titans/dp/1423101480/
383, https://www.amazon.ca/Maze-Runner-Book-One/dp/0385737947/
352, https://www.amazon.ca/Mind-Introduction-Cognitive-Paul-Thagard/dp/0262201062/
355, https://www.amazon.ca/Rant-Oral-Biography-Buster-Casey/dp/0385663501/
353, https://www.amazon.ca/Halo-Silentium-Book-Three-Forerunner/dp/0765337347/
357, https://www.amazon.ca/Pathfinder-Trilogy-Ruins-Visitors/dp/1481457721/
361, https://www.amazon.ca/Heroes-Olympus-Book-Two-Neptune/dp/1423140591/
364, https://www.amazon.ca/HALO-Flood-William-C-Dietz/dp/1982111631/
365, https://www.amazon.ca/HALO-Cryptum-Book-Forerunner-Saga/dp/1982111755/
402, https://www.amazon.ca/Ravenor-Omnibus-Dan-Abnett/dp/1784969931/
403, https://www.amazon.ca/Space-Marine-Ian-Watson/dp/1844169014/
